shift,test_accuracy_mean,test_accuracy_std,test_bal_accuracy_mean,test_bal_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_specificity_mean,test_specificity_std,test_auc_mean,test_auc_std,test_f1_score_mean,test_f1_score_std,validation_accuracy_mean,validation_accuracy_std,validation_bal_accuracy_mean,validation_bal_accuracy_std,validation_precision_mean,validation_precision_std,validation_recall_mean,validation_recall_std,validation_specificity_mean,validation_specificity_std,validation_auc_mean,validation_auc_std,validation_f1_score_mean,validation_f1_score_std,CBPE_accuracy_mean,CBPE_accuracy_std,CBPE_bal_accuracy_mean,CBPE_bal_accuracy_std,CBPE_precision_mean,CBPE_precision_std,CBPE_recall_mean,CBPE_recall_std,CBPE_specificity_mean,CBPE_specificity_std,CBPE_auc_mean,CBPE_auc_std,CBPE_f1_score_mean,CBPE_f1_score_std,CMATC_accuracy_mean,CMATC_accuracy_std,CMATC_bal_accuracy_mean,CMATC_bal_accuracy_std,CMATC_precision_mean,CMATC_precision_std,CMATC_recall_mean,CMATC_recall_std,CMATC_specificity_mean,CMATC_specificity_std,CMATC_auc_mean,CMATC_auc_std,CMATC_f1_score_mean,CMATC_f1_score_std,CMDoC_accuracy_mean,CMDoC_accuracy_std,CMDoC_bal_accuracy_mean,CMDoC_bal_accuracy_std,CMDoC_precision_mean,CMDoC_precision_std,CMDoC_recall_mean,CMDoC_recall_std,CMDoC_specificity_mean,CMDoC_specificity_std,CMDoC_auc_mean,CMDoC_auc_std,CMDoC_f1_score_mean,CMDoC_f1_score_std,ATC_accuracy_mean,ATC_accuracy_std,ATC_bal_accuracy_mean,ATC_bal_accuracy_std,ATC_precision_mean,ATC_precision_std,ATC_recall_mean,ATC_recall_std,ATC_specificity_mean,ATC_specificity_std,ATC_auc_mean,ATC_auc_std,ATC_f1_score_mean,ATC_f1_score_std,DoC_accuracy_mean,DoC_accuracy_std,DoC_bal_accuracy_mean,DoC_bal_accuracy_std,DoC_precision_mean,DoC_precision_std,DoC_recall_mean,DoC_recall_std,DoC_specificity_mean,DoC_specificity_std,DoC_auc_mean,DoC_auc_std,DoC_f1_score_mean,DoC_f1_score_std,test_ece_mean,test_ece_std,test_rbs_mean,test_rbs_std,validation_ece_mean,validation_ece_std,validation_rbs_mean,validation_rbs_std
0.0,0.478,0.0,0.4698895499148622,0.0,0.36989247311827955,0.0,0.428927680798005,0.0,0.5108514190317195,0.0,0.467841248298286,0.0,0.3972286374133949,0.0,0.8506490589767776,0.0,0.8484269651242172,0.0,0.8016634676903391,0.0,0.8369141712122898,0.0,0.8599397590361446,0.0,0.9251508245494502,0.0,0.8189096454441479,0.0,0.7597559204101563,0.0,0.75885009765625,0.0,0.7605579,0.0,0.7328773,0.0,0.78482294,0.0,0.8414760042051753,0.0,0.7464611223545125,0.0,0.683,0.0,0.6813109618241715,0.0,0.6451612903225806,0.0,0.6637168141592921,0.0,0.698905109489051,0.0,0.7369838857375021,0.0,0.6543075245365322,0.0,0.7434968574087144,0.0,0.7423621807218996,0.0,0.7106039657744019,0.0,0.7304521077133089,0.0,0.7542722537304904,0.0,0.8227389121976096,0.0,0.7203913492319416,0.0,0.683,0.0,0.68,0.0,0.574,0.0,0.658,0.0,0.702,0.0,0.816,0.0,0.616,0.0,0.746253073373445,0.0,0.7440309795208847,0.0,0.6972674820870066,0.0,0.7325181856089573,0.0,0.7555437734328121,0.0,0.8207548389461177,0.0,0.7145136598408154,0.0,0.28959589112293904,0.0,0.5927972353867451,0.0,0.03126332641730257,0.0,0.32829547395036934,0.0
0.1,0.533,0.0,0.5207452986898363,0.0,0.423963133640553,0.0,0.45885286783042395,0.0,0.5826377295492488,0.0,0.572304630743675,0.0,0.4407185628742515,0.0,0.8506490589767776,0.0,0.8484269651242172,0.0,0.8016634676903391,0.0,0.8369141712122898,0.0,0.8599397590361446,0.0,0.9251508245494502,0.0,0.8189096454441479,0.0,0.777208740234375,0.0,0.773448646068573,0.0,0.76627374,0.0,0.7326514,0.0,0.8142459,0.0,0.8603921431946091,0.0,0.7490854863122774,0.0,0.697,0.0,0.6913088250437648,0.0,0.6290322580645161,0.0,0.6578313253012048,0.0,0.7247863247863248,0.0,0.7776718462894682,0.0,0.6431095406360424,0.0,0.7629021155907246,0.0,0.7588289666025669,0.0,0.716319839460801,0.0,0.7317239692808379,0.0,0.7859339639242959,0.0,0.8431219342932254,0.0,0.7239399706564941,0.0,0.699,0.0,0.695,0.0,0.621,0.0,0.677,0.0,0.712,0.0,0.833,0.0,0.654,0.0,0.7637059094101272,0.0,0.7614838155575668,0.0,0.7147203181236887,0.0,0.7499710216456394,0.0,0.7729966094694942,0.0,0.8382076749827998,0.0,0.7319664958774975,0.0,0.24709016491705552,0.0,0.5545950245566931,0.0,0.03126332641730257,0.0,0.32829547395036934,0.0
0.2,0.596,0.0,0.5902314331033851,0.0,0.4966887417218543,0.0,0.5610972568578554,0.0,0.6193656093489148,0.0,0.6407395534535947,0.0,0.5269320843091335,0.0,0.8506490589767776,0.0,0.8484269651242172,0.0,0.8016634676903391,0.0,0.8369141712122898,0.0,0.8599397590361446,0.0,0.9251508245494502,0.0,0.8189096454441479,0.0,0.78944482421875,0.0,0.7875866293907166,0.0,0.78248966,0.0,0.7598603,0.0,0.815313,0.0,0.8756306083439295,0.0,0.7710089426100402,0.0,0.714,0.0,0.7115426176097602,0.0,0.6600441501103753,0.0,0.6937354988399071,0.0,0.7293497363796133,0.0,0.7938524496913428,0.0,0.676470588235294,0.0,0.7739415493822691,0.0,0.7723549637235808,0.0,0.7325357112960384,0.0,0.7598155987637407,0.0,0.7848943286834209,0.0,0.8499356154323957,0.0,0.7459263195499546,0.0,0.709,0.0,0.707,0.0,0.633,0.0,0.692,0.0,0.721,0.0,0.843,0.0,0.666,0.0,0.7759419681221328,0.0,0.7737198742695724,0.0,0.7269563768356944,0.0,0.7622070803576451,0.0,0.7852326681814998,0.0,0.8504437336948054,0.0,0.7442025545895031,0.0,0.19645848576922437,0.0,0.5271508941510055,0.0,0.03126332641730257,0.0,0.32829547395036934,0.0
0.30000000000000004,0.661,0.0,0.6543803263127657,0.0,0.5711009174311926,0.0,0.6209476309226932,0.0,0.6878130217028381,0.0,0.7228589627766977,0.0,0.5949820788530465,0.0,0.8506490589767776,0.0,0.8484269651242172,0.0,0.8016634676903391,0.0,0.8369141712122898,0.0,0.8599397590361446,0.0,0.9251508245494502,0.0,0.8189096454441479,0.0,0.8066241455078125,0.0,0.8033038377761841,0.0,0.7989204,0.0,0.76718694,0.0,0.8394208,0.0,0.8896322310478236,0.0,0.7827322024196458,0.0,0.752,0.0,0.7480526082749799,0.0,0.6995412844036697,0.0,0.7227488151658767,0.0,0.773356401384083,0.0,0.8376127957320341,0.0,0.710955710955711,0.0,0.7921915568919129,0.0,0.78910054677765,0.0,0.7489664917922048,0.0,0.7685192720073488,0.0,0.8096818215479511,0.0,0.873896368963547,0.0,0.7586169132669033,0.0,0.752,0.0,0.748,0.0,0.676,0.0,0.729,0.0,0.767,0.0,0.871,0.0,0.702,0.0,0.7931213380485854,0.0,0.7908992441960251,0.0,0.744135746762147,0.0,0.7793864502840977,0.0,0.8024120381079525,0.0,0.867623103621258,0.0,0.7613819245159558,0.0,0.14329516756033991,0.0,0.4855582573810517,0.0,0.03126332641730257,0.0,0.32829547395036934,0.0
0.4,0.683,0.0,0.679338798246454,0.0,0.594170403587444,0.0,0.6608478802992519,0.0,0.6978297161936561,0.0,0.7546451067656401,0.0,0.6257378984651711,0.0,0.8506490589767776,0.0,0.8484269651242172,0.0,0.8016634676903391,0.0,0.8369141712122898,0.0,0.8599397590361446,0.0,0.9251508245494502,0.0,0.8189096454441479,0.0,0.8066224365234375,0.0,0.8042271137237549,0.0,0.79300123,0.0,0.77776897,0.0,0.8306853,0.0,0.8926710030145392,0.0,0.7853112219745099,0.0,0.727,0.0,0.7243978699093763,0.0,0.6569506726457399,0.0,0.7094430992736077,0.0,0.7393526405451448,0.0,0.8301442556878081,0.0,0.6821885913853318,0.0,0.7915599855938142,0.0,0.7899686262284097,0.0,0.7430473369571742,0.0,0.77932575650783,0.0,0.8006114959489894,0.0,0.8736226250878727,0.0,0.7607542861615739,0.0,0.746,0.0,0.744,0.0,0.656,0.0,0.721,0.0,0.754,0.0,0.865,0.0,0.687,0.0,0.7931196095138869,0.0,0.7908975156613266,0.0,0.7441340182274485,0.0,0.7793847217493992,0.0,0.802410309573254,0.0,0.8676213750865596,0.0,0.7613801959812573,0.0,0.1293763916272437,0.0,0.46766979211751536,0.0,0.03126332641730257,0.0,0.32829547395036934,0.0
0.5,0.722,0.0,0.716426796114888,0.0,0.6433566433566433,0.0,0.6882793017456359,0.0,0.7445742904841403,0.0,0.8102240225812763,0.0,0.6650602409638554,0.0,0.8506490589767776,0.0,0.8484269651242172,0.0,0.8016634676903391,0.0,0.8369141712122898,0.0,0.8599397590361446,0.0,0.9251508245494502,0.0,0.8189096454441479,0.0,0.828486328125,0.0,0.8247435092926025,0.0,0.8071377,0.0,0.79593563,0.0,0.85355145,0.0,0.9098860621058202,0.0,0.8014975065353893,0.0,0.793,0.0,0.7897456279809221,0.0,0.7342657342657343,0.0,0.7720588235294118,0.0,0.8074324324324325,0.0,0.867111867507798,0.0,0.7526881720430109,0.0,0.8144946174242853,0.0,0.8121640981139666,0.0,0.7571838111756543,0.0,0.7997453793036486,0.0,0.8245828169242846,0.0,0.8892800612359053,0.0,0.7778828452498024,0.0,0.795,0.0,0.79,0.0,0.721,0.0,0.775,0.0,0.808,0.0,0.888,0.0,0.759,0.0,0.8149834872871718,0.0,0.8127613934346115,0.0,0.7659978960007334,0.0,0.8012485995226841,0.0,0.8242741873465389,0.0,0.8894852528598445,0.0,0.7832440737545422,0.0,0.10718732272053604,0.0,0.43439134536367124,0.0,0.03126332641730257,0.0,0.32829547395036934,0.0
0.6000000000000001,0.761,0.0,0.7596971677650615,0.0,0.6832579185520362,0.0,0.7531172069825436,0.0,0.7662771285475793,0.0,0.8443290771402046,0.0,0.7164887307236062,0.0,0.8506490589767776,0.0,0.8484269651242172,0.0,0.8016634676903391,0.0,0.8369141712122898,0.0,0.8599397590361446,0.0,0.9251508245494502,0.0,0.8189096454441479,0.0,0.8448699951171875,0.0,0.8424153923988342,0.0,0.841048,0.0,0.8141258,0.0,0.870705,0.0,0.9221312235000012,0.0,0.8273679249332571,0.0,0.824,0.0,0.8221950224398205,0.0,0.7873303167420814,0.0,0.8093023255813954,0.0,0.8350877192982457,0.0,0.8855683660222573,0.0,0.798165137614679,0.0,0.8300594712346463,0.0,0.8285751600905629,0.0,0.7910940588456945,0.0,0.8183712295788517,0.0,0.838779090602274,0.0,0.8925173877904332,0.0,0.8045014978655463,0.0,0.832,0.0,0.829,0.0,0.775,0.0,0.812,0.0,0.834,0.0,0.911,0.0,0.789,0.0,0.831367135205873,0.0,0.8291450413533127,0.0,0.7823815439194346,0.0,0.8176322474413853,0.0,0.8406578352652401,0.0,0.9058689007785456,0.0,0.7996277216732434,0.0,0.08732595644300455,0.0,0.410677548376316,0.0,0.03126332641730257,0.0,0.32829547395036934,0.0
0.7000000000000001,0.814,0.0,0.8134172082315081,0.0,0.7471264367816092,0.0,0.8104738154613467,0.0,0.8163606010016694,0.0,0.8952618453865336,0.0,0.777511961722488,0.0,0.8506490589767776,0.0,0.8484269651242172,0.0,0.8016634676903391,0.0,0.8369141712122898,0.0,0.8599397590361446,0.0,0.9251508245494502,0.0,0.8189096454441479,0.0,0.8525775146484375,0.0,0.8499158620834351,0.0,0.8335267,0.0,0.82859176,0.0,0.8712399,0.0,0.9304172474438902,0.0,0.8310518788828117,0.0,0.816,0.0,0.8150223052183836,0.0,0.7540229885057471,0.0,0.8098765432098766,0.0,0.8201680672268907,0.0,0.90047341842478,0.0,0.7809523809523811,0.0,0.8382078342804411,0.0,0.8376193106924948,0.0,0.7835727795303764,0.0,0.8344033177938341,0.0,0.8408353035911555,0.0,0.9092235125072126,0.0,0.8081895994067592,0.0,0.825,0.0,0.822,0.0,0.764,0.0,0.808,0.0,0.832,0.0,0.915,0.0,0.782,0.0,0.8390746118217788,0.0,0.8368525179692184,0.0,0.7900890205353404,0.0,0.8253397240572911,0.0,0.8483653118811458,0.0,0.9135763773944514,0.0,0.8073351982891491,0.0,0.05513098595442715,0.0,0.3658341398658773,0.0,0.03126332641730257,0.0,0.32829547395036934,0.0
0.8,0.87,0.0,0.8679927893121953,0.0,0.8249400479616307,0.0,0.85785536159601,0.0,0.8781302170283807,0.0,0.9372312124530078,0.0,0.8410757946210269,0.0,0.8506490589767776,0.0,0.8484269651242172,0.0,0.8016634676903391,0.0,0.8369141712122898,0.0,0.8599397590361446,0.0,0.9251508245494502,0.0,0.8189096454441479,0.0,0.866294677734375,0.0,0.8619951009750366,0.0,0.8491446,0.0,0.8333726,0.0,0.8906176,0.0,0.9391089485768027,0.0,0.8411846639682068,0.0,0.844,0.0,0.841636154409457,0.0,0.7865707434052758,0.0,0.830379746835443,0.0,0.8528925619834711,0.0,0.9169220195690889,0.0,0.8078817733990148,0.0,0.8530586739635151,0.0,0.8509183682886818,0.0,0.7991906751072163,0.0,0.8405820879791898,0.0,0.861254648598174,0.0,0.9173513597322616,0.0,0.8193639771289739,0.0,0.858,0.0,0.854,0.0,0.806,0.0,0.842,0.0,0.863,0.0,0.921,0.0,0.829,0.0,0.8527917863518081,0.0,0.8505696924992477,0.0,0.8038061950653697,0.0,0.8390568985873204,0.0,0.8620824864111751,0.0,0.9272935519244807,0.0,0.8210523728191784,0.0,0.039424071487650515,0.0,0.31049603315155083,0.0,0.03126332641730257,0.0,0.32829547395036934,0.0
0.9,0.904,0.0,0.9025557974845857,0.0,0.8692493946731235,0.0,0.8952618453865336,0.0,0.9098497495826378,0.0,0.9681181020736972,0.0,0.8820638820638821,0.0,0.8506490589767776,0.0,0.8484269651242172,0.0,0.8016634676903391,0.0,0.8369141712122898,0.0,0.8599397590361446,0.0,0.9251508245494502,0.0,0.8189096454441479,0.0,0.8788494262695312,0.0,0.8743488192558289,0.0,0.8650251,0.0,0.8452521,0.0,0.90344554,0.0,0.947234999343025,0.0,0.8550242927974757,0.0,0.874,0.0,0.8710882784476559,0.0,0.8353510895883777,0.0,0.8560794044665012,0.0,0.8860971524288107,0.0,0.9301356744596385,0.0,0.8455882352941176,0.0,0.8658653730649081,0.0,0.8637169354408252,0.0,0.8150711921145407,0.0,0.8535460046054867,0.0,0.8738878662761637,0.0,0.9263007677468461,0.0,0.8338650241240765,0.0,0.874,0.0,0.872,0.0,0.832,0.0,0.863,0.0,0.88,0.0,0.936,0.0,0.845,0.0,0.8653466107040725,0.0,0.8631245168515121,0.0,0.8163610194176341,0.0,0.8516117229395848,0.0,0.8746373107634395,0.0,0.9398483762767451,0.0,0.8336071971714428,0.0,0.04119474683282896,0.0,0.2651794049771574,0.0,0.03126332641730257,0.0,0.32829547395036934,0.0
1.0,0.943,0.0,0.9454140108826432,0.0,0.9056603773584906,0.0,0.9576059850374065,0.0,0.9332220367278798,0.0,0.9881473278406655,0.0,0.9309090909090909,0.0,0.8506490589767776,0.0,0.8484269651242172,0.0,0.8016634676903391,0.0,0.8369141712122898,0.0,0.8599397590361446,0.0,0.9251508245494502,0.0,0.8189096454441479,0.0,0.8914951171875,0.0,0.8881344795227051,0.0,0.8859912,0.0,0.86195123,0.0,0.9143178,0.0,0.9543888103662468,0.0,0.8738059241602084,0.0,0.904,0.0,0.9021346469622331,0.0,0.8820754716981132,0.0,0.8904761904761904,0.0,0.9137931034482759,0.0,0.9443555959654714,0.0,0.886255924170616,0.0,0.8778182711756789,0.0,0.8766963607665886,0.0,0.836037270347443,0.0,0.8706554038027865,0.0,0.8827373177303908,0.0,0.935053942220093,0.0,0.8529952442327761,0.0,0.897,0.0,0.896,0.0,0.866,0.0,0.89,0.0,0.905,0.0,0.946,0.0,0.875,0.0,0.8779922725349746,0.0,0.8757701786824142,0.0,0.8290066812485362,0.0,0.8642573847704869,0.0,0.8872829725943416,0.0,0.9524940381076472,0.0,0.8462528590023449,0.0,0.05875028186512646,0.0,0.21739281378453026,0.0,0.03126332641730257,0.0,0.32829547395036934,0.0
